"","yhat","se","yexp","diff","rf_result","real_y_rf"
"381",524.702210176268,0.356232827327422,524.867548161395,0.165337985126712,522.18514007739,523.036983742708
"385",528.127643887872,0.42653197743584,535.533261886488,7.40561799861598,524.460331676056,524.217399503689
"389",520.401644318569,0.202370253088904,520.625503637397,0.223859318828204,522.103038157777,522.839369247975
"391",522.504087116017,0.229848070038469,523.268951485458,0.76486436944117,524.984045406542,524.867548161395
"392",519.982681826197,0.146235169587202,520.238160990584,0.255479164386315,521.271806341555,520.618015360914
"393",523.78440471955,0.518564774059588,524.704391472733,0.919986753183252,516.591739203184,516.574059893383
"395",519.882029573713,0.230057563363478,520.391473901855,0.509444328142422,528.227020829475,532.615492430398
"397",515.941776992073,0.65255524447352,511.315814754343,-4.62596223772999,522.402270135672,522.981347347734
"398",522.87749505648,0.326397305820292,524.37274325579,1.49524819930946,520.346228489178,520.625503637397
"399",523.4811861595,0.234808582784928,523.884847520648,0.403661361148238,523.081192116073,523.268951485458
"401",520.312633225699,0.182324085887667,519.496150939721,-0.816482285977145,520.075026540931,520.238160990584
"402",518.901806684143,0.309982896227116,517.182486883307,-1.71931980083673,513.306771628198,511.315814754343
"404",524.621270628231,0.270977210980367,525.035575324424,0.414304696193426,524.068702856258,524.37274325579
"412",521.532256580388,0.218445381707639,523.3666509813,1.83439440091206,528.093289315019,529.07010748412
"413",520.84380380051,0.414033287153762,519.422020098678,-1.42178370183183,520.208020981794,519.496150939721
"414",522.17437840186,0.249691264148335,522.794116278645,0.619737876785393,524.777410824775,526.271875109466
"415",516.316443042399,0.179685610166142,515.069031089193,-1.24741195320564,525.47240018487,525.035575324424
"417",514.988982458028,0.24304652412187,512.552588874844,-2.43639358318478,516.168288535968,515.806285076412
"419",517.147410501489,0.287349656847836,516.83314945002,-0.314261051468407,522.49208766124,522.862181710635
"420",524.645506340893,0.225119968920058,525.081345547005,0.43583920611195,521.775648002906,521.960116672685
"423",521.240729322287,0.197223647314339,519.6349836946,-1.60574562768772,518.399641584691,518.56735706503
"424",525.943334855447,0.327379056271664,527.533279230053,1.58994437460603,519.838639059655,519.422020098678
"425",519.031161777238,0.22119828545209,519.657604430216,0.626442652978199,522.796115890842,522.794116278645
"426",514.52388799553,0.273374072468922,509.573932412021,-4.94995558350894,515.276815758964,515.069031089193
"427",520.747931694037,0.224494976848792,521.493513532861,0.745581838824137,520.238902451471,519.972768575516
"428",516.861316313701,0.262061665119203,516.85470706633,-0.00660924737110236,511.175904089645,507.53589272194
"429",526.83259222995,0.248308661103378,529.004940534861,2.172348304911,524.857094043482,525.081345547005
"431",519.32829820379,0.406775257466405,518.946567067376,-0.381731136414032,521.012156994455,519.6349836946
"432",515.071674210418,0.315761260681058,512.485776224853,-2.585897985565,518.633832244313,519.657604430216
"433",517.220879534263,0.202942061771074,516.131295517567,-1.08958401669668,510.767920791063,509.573932412021
"434",523.711192546843,0.361405606194653,524.431574705956,0.720382159112546,526.803919832716,529.004940534861
"435",515.921026329738,0.153905489744183,514.420575941793,-1.50045038794462,512.685219568563,512.485776224853
"436",525.515655385483,0.387336488693417,525.329937917714,-0.185717467768768,515.032000652524,514.420575941793
"437",526.476174391983,0.370161354560359,531.491914725477,5.01574033349436,528.07276874784,531.491914725477
